inoculante ,biodiesel,vaso,fresca,seca ,secaAd
esterco,5,1,1.53,0.20,0.13
esterco,5,2,1.51,0.18,0.10
esterco,5,3,1.64,0.21,0.10
esterco,10,1,1.53,0.18,
esterco,10,2,1.91,0.24,
esterco,10,3,1.31,0.16,
esterco,15,1,1.71,0.20,
esterco,15,2,1.59,0.19,
esterco,15,3,1.42,0.17,
esterco,20,1,1.71,0.22,
esterco,20,2,2.38,0.28,
esterco,20,3,1.49,0.20,
mamona,5,1,4.12,0.46,
mamona,5,2,1.96,0.23,
mamona,5,3,2.06,0.25,
mamona,10,1,3.42,0.39,
mamona,10,2,4.31,0.49,
mamona,10,3,4.20,0.46,
mamona,15,1,2.71,0.33,
mamona,15,2,2.89,0.33,
mamona,15,3,3.44,0.36,
mamona,20,1,2.04,0.25,
mamona,20,2,2.77,0.33,
mamona,20,3,2.76,0.32,
