trat,genero,bloco,sabor
10g,F,1,8
10g,F,2,9
10g,F,3,7
10g,F,4,9
10g,F,5,8
10g,F,6,8
10g,F,7,8
10g,F,8,5
10g,F,9,6
10g,F,10,7
10g,F,11,6
10g,F,12,8
10g,F,13,2
10g,F,14,8
10g,F,15,8
10g,F,16,6
10g,F,17,9
10g,F,18,8
10g,F,19,1
10g,F,20,7
10g,M,1,3
10g,M,2,8
10g,M,3,7
10g,M,4,4
10g,M,5,8
10g,M,6,6
10g,M,7,8
10g,M,8,6
10g,M,9,6
10g,M,10,8
10g,M,11,7
10g,M,12,9
10g,M,13,9
10g,M,14,6
10g,M,15,4
10g,M,16,6
10g,M,17,8
10g,M,18,8
10g,M,19,7
10g,M,20,8
15g,F,1,8
15g,F,2,8
15g,F,3,8
15g,F,4,9
15g,F,5,7
15g,F,6,7
15g,F,7,9
15g,F,8,7
15g,F,9,8
15g,F,10,6
15g,F,11,8
15g,F,12,9
15g,F,13,4
15g,F,14,7
15g,F,15,8
15g,F,16,6
15g,F,17,8
15g,F,18,6
15g,F,19,7
15g,F,20,7
15g,M,1,6
15g,M,2,9
15g,M,3,8
15g,M,4,2
15g,M,5,7
15g,M,6,6
15g,M,7,3
15g,M,8,8
15g,M,9,5
15g,M,10,7
15g,M,11,8
15g,M,12,8
15g,M,13,9
15g,M,14,8
15g,M,15,6
15g,M,16,6
15g,M,17,4
15g,M,18,7
15g,M,19,7
15g,M,20,8
15t,F,1,8
15t,F,2,9
15t,F,3,6
15t,F,4,8
15t,F,5,6
15t,F,6,7
15t,F,7,9
15t,F,8,5
15t,F,9,8
15t,F,10,8
15t,F,11,4
15t,F,12,4
15t,F,13,2
15t,F,14,4
15t,F,15,6
15t,F,16,9
15t,F,17,7
15t,F,18,6
15t,F,19,3
15t,F,20,4
15t,M,1,3
15t,M,2,7
15t,M,3,7
15t,M,4,7
15t,M,5,7
15t,M,6,7
15t,M,7,1
15t,M,8,7
15t,M,9,5
15t,M,10,6
15t,M,11,9
15t,M,12,9
15t,M,13,4
15t,M,14,7
15t,M,15,3
15t,M,16,5
15t,M,17,4
15t,M,18,7
15t,M,19,8
15t,M,20,7
20t,F,1,7
20t,F,2,8
20t,F,3,7
20t,F,4,9
20t,F,5,6
20t,F,6,7
20t,F,7,9
20t,F,8,6
20t,F,9,6
20t,F,10,6
20t,F,11,7
20t,F,12,9
20t,F,13,1
20t,F,14,7
20t,F,15,8
20t,F,16,6
20t,F,17,8
20t,F,18,6
20t,F,19,8
20t,F,20,7
20t,M,1,6
20t,M,2,7
20t,M,3,8
20t,M,4,3
20t,M,5,6
20t,M,6,8
20t,M,7,1
20t,M,8,7
20t,M,9,4
20t,M,10,6
20t,M,11,8
20t,M,12,9
20t,M,13,4
20t,M,14,7
20t,M,15,6
20t,M,16,7
20t,M,17,5
20t,M,18,6
20t,M,19,8
20t,M,20,7
