revol,esterco,rep,c,n,k,p,zn,b,ca,cn
5,com,1,18,1.28,4.80,3.68,109,5.31,12.01,14.06
5,com,2,15,1.31,4.65,3.71,125,5.97,8.62,11.45
5,com,3,26,1.74,4.13,3.71,119,5.86,8.69,14.94
10,com,1,17,1.70,4.50,3.71,126,5.86,10.62,10.00
10,com,2,23,1.49,2.55,3.83,119,6.07,8.18,15.44
10,com,3,20,1.42,4.50,3.54,110,4.88,8.47,14.08
15,com,1,26,1.48,4.88,3.71,113,3.69,8.07,17.57
15,com,2,16,1.53,7.50,3.71,107,4.66,7.77,10.46
15,com,3,21,1.47,6.00,3.71,102,4.45,7.77,14.29
20,com,1,27,1.95,4.65,3.88,111,5.64,10.94,13.85
20,com,2,22,1.57,5.55,4.00,120,4.88,8.59,14.01
20,com,3,21,2.28,6.60,4.31,126,6.29,9.66,9.21
5,sem,1,33,1.86,1.65,2.12,36,10.09,7.51,17.74
5,sem,2,30,1.72,7.80,2.64,65,9.11,8.29,17.44
5,sem,3,18,2.26,6.23,3.14,75,7.92,12.27,7.96
10,sem,1,27,1.41,5.85,2.24,56,11.94,7.12,19.15
10,sem,2,18,0.96,5.33,2.29,61,8.14,8.17,18.75
10,sem,3,20,1.90,4.13,2.68,69,4.01,4.94,10.53
15,sem,1,29,1.36,5.10,2.65,61,9.33,12.53,21.32
15,sem,2,22,1.42,4.88,2.38,64,18.56,6.28,15.49
15,sem,3,31,1.80,5.40,2.79,64,18.56,6.65,17.22
20,sem,1,37,2.16,5.33,2.10,42,27.46,7.21,17.13
20,sem,2,34,1.70,4.13,2.25,64,8.35,7.54,20.00
20,sem,3,33,2.23,4.88,1.56,30,10.74,7.19,14.80
